sheet,elapsed_sec,R2,R2_adj,RSS,AIC,cond_JTJ,used_pinv,w0_est,x0_fixed,y0_fixed,z0_fixed,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
E1,287.2707470000023,0.9822690207704015,0.9788213303646461,17.585744236296993,-23.24133494212955,95480.55691353319,False,0.03973131999373436,3.0825417041778564,16.7020320892334,0.11563242971897125,0.02690870501101017,4.1617953684180975e-05,0.007064579986035824,0.3809939920902252,8.242332114605233e-07,0.22354170680046082,0.0004125876002945006,0.11132626980543137,0.0074546425603330135,1.0
E2,257.3097210000269,0.9871304903882517,0.9846280857415229,26.639268681146568,-4.968231472287911,106123.40709089924,False,0.04510622099041939,3.88151216506958,24.68014144897461,0.508366584777832,0.01651792973279953,0.08476533740758896,0.007583566475659609,0.21297265589237213,8.242332114605233e-07,0.1448410004377365,0.0004125876002945006,0.06662732362747192,0.001543777296319604,1.0
E3,211.29843319999054,0.9865846269820335,0.98397608222854,25.950823740082832,-6.120285272881613,76944.80697473875,False,0.032621148973703384,3.6852974891662598,23.26363182067871,0.1326395869255066,0.01768903061747551,0.0995737835764885,0.007373610977083445,0.18128995597362518,8.242332114605233e-07,0.1431410163640976,0.0004125876002945006,0.07033237814903259,0.005031424108892679,1.0
E4,299.32413770002313,0.9904915276450723,0.988642658020503,59.48185734957097,30.376306511342445,696951.9343773533,False,0.03401928395032883,6.052127361297607,41.27791976928711,0.1707180142402649,0.009545386768877506,0.09990661591291428,0.002569797681644559,0.2666051983833313,8.242332114605233e-07,0.17613114416599274,0.0004125876002945006,0.09002707153558731,3.5077129723504186e-05,1.0
E5,319.70572429994354,0.9900266548040495,0.9880873932381702,68.95085381686212,36.87610265961483,394691.7114841544,False,0.027024876326322556,4.547883987426758,42.4019660949707,0.042393412441015244,0.009151013568043709,0.07030978053808212,0.003084723372012377,0.15935379266738892,8.242332114605233e-07,0.13113953173160553,0.0004125876002945006,0.06461915373802185,2.263361784571316e-05,1.0
E6,316.9334497000091,0.9812755618877841,0.9776346989215199,128.37282611710194,64.22407152597552,906976.5441961789,False,0.04342977702617645,5.6045308113098145,41.20490264892578,0.06092072278261185,0.008733909577131271,0.05149635300040245,0.003053301014006138,0.30288755893707275,8.242332114605233e-07,0.12911725044250488,0.0004125876002945006,0.06836967915296555,2.175997906306293e-05,1.0
E7,307.638596600038,0.9904336198329868,0.9885734903560676,58.30043684013398,29.493589015823257,528110.1759584399,False,0.04951280727982521,6.101893901824951,40.325279235839844,0.1568724364042282,0.008680074475705624,0.0999697893857956,0.0017816812032833695,0.2382207214832306,8.242332114605233e-07,0.1474636197090149,0.0004125876002945006,0.07634256780147552,2.2675520085613243e-05,1.0
E8,313.13227090000873,0.976455670912356,0.9718776069230919,444.12727084102073,118.83565858410668,13077500.468832055,False,0.05164462327957153,5.180769443511963,68.1485595703125,0.019215669482946396,0.0038002505898475647,0.09996899962425232,0.00030735437758266926,0.35994282364845276,8.242332114605233e-07,0.16489923000335693,0.0004125876002945006,0.08397457003593445,1.6408341252827086e-05,1.0
E9,320.08512080000946,0.9601334337751148,0.9523816014536094,777.844539499122,143.49394129342747,9977377.464987922,False,0.0426577664911747,7.242109298706055,68.10994720458984,0.01321801170706749,0.004548741038888693,0.09994854778051376,0.0016771763330325484,0.40665102005004883,8.242332114605233e-07,0.09592701494693756,0.0004125876002945006,0.04912766069173813,1.8306418496649712e-05,1.0
E10,306.19349689997034,0.9803555179664416,0.9765357575710275,483.209231569581,122.54655628504214,3006535.9668222214,False,0.019086113199591637,6.0969038009643555,78.09254455566406,0.8276510834693909,0.0048891035839915276,0.09992926567792892,0.0018127510556951165,0.16366273164749146,8.242332114605233e-07,0.09989682585000992,0.0004125876002945006,0.05063800513744354,2.2173688194015995e-05,1.0
