param,estimate,SE,MOE_95,CI_low,CI_high,p_value
p1,0.004548741038888693,0.002466077530337697,0.004996747705215681,-0.0004480066663269883,0.009545488744104373,0.07312425358696938
p2,0.09994854778051376,0.2565504830508913,0.5198206551441932,-0.4198721073636794,0.6197692029247069,0.6990759988481356
p3,0.0016771763330325484,0.005214365159152531,0.01056530738495644,-0.008888131051923891,0.012242483717988988,0.7495314960200019
p4,0.40665102005004883,0.598463768751219,1.2126027776397157,-0.8059517575896669,1.6192537976897645,0.5010556399274098
p6,0.09592701494693756,0.1022094967532916,0.20709611197151767,-0.11116909702458011,0.30302312691845523,0.3540570614104349
p8,0.04912766069173813,0.05293045145622781,0.10724728180533692,-0.05811962111359879,0.15637494249707506,0.35934283977160275
p9,1.8306418496649712e-05,0.019516696952942673,0.03954458426927562,-0.039526277850778974,0.03956289068777227,0.9992566334777647
w0 (estimated),0.0426577664911747,,,,,
x0 (fixed),7.242109298706055,,,,,
y0 (fixed),68.10994720458984,,,,,
z0 (fixed),0.01321801170706749,,,,,
W0 (fixed),0.0,,,,,
