param,estimate,SE,MOE_95,CI_low,CI_high,p_value
p1,0.005040286108851433,0.0013118141055670825,0.002657987853595295,0.002382298255256138,0.007698273962446728,0.00046257758940878256
p2,0.0999111607670784,0.12243058751315368,0.24806793366337776,-0.14815677289629936,0.34797909443045616,0.4196866281913666
p3,0.0018697199411690235,0.0027325759265408862,0.005536724747011929,-0.003667004805842905,0.007406444688180952,0.49809130614076935
p4,0.16819973289966583,0.19671576070299332,0.3985839916954429,-0.23038425879577706,0.5667837245951087,0.39803225042151735
p6,0.10334634780883789,0.08225894570515473,0.16667245580450524,-0.06332610799566735,0.27001880361334313,0.21686242487646587
p8,0.05220263823866844,0.04198933782915983,0.08507847983702671,-0.03287584159835827,0.13728111807569515,0.2216014703208606
p9,2.785302967822645e-05,0.011605631868446245,0.02351524382053622,-0.023487390790857994,0.023543096850214447,0.9980980056636295
w0 (estimated),0.01616228185594082,,,,,
x0 (fixed),6.0969038009643555,,,,,
y0 (fixed),78.09254455566406,,,,,
z0 (fixed),0.8276510834693909,,,,,
W0 (fixed),0.0,,,,,
