param,estimate,SE,MOE_95,CI_low,CI_high,p_value
p1,0.026524124667048454,0.0032481229188652105,0.0065813221771968,0.019942802489851655,0.033105446844245254,8.431104466938033e-10
p2,0.00013508423580788076,0.10219754329212617,0.20707189195859715,-0.20693680772278927,0.20720697619440503,0.9989524612898131
p3,0.007331988774240017,0.004187062433061873,0.008483794344102291,-0.0011518055698622742,0.015815783118342308,0.08821514299168941
p4,0.384970098733902,0.1728879099176094,0.3503041800239158,0.0346659187099862,0.7352742787578177,0.03213671326894519
p6,0.2188594937324524,0.05302715632326553,0.10744322447806699,0.1114162692543854,0.32630271821051937,0.0002001036208366786
p8,0.11022605746984482,0.02741154084329977,0.055541057456708585,0.05468500001313623,0.1657671149265534,0.00027396001945330503
p9,0.008156225085258484,0.005105544785794364,0.010344816364634107,-0.0021885912793756235,0.01850104144989259,0.11865564562548034
w0 (estimated),0.03758420795202255,,,,,
x0 (fixed),3.0825417041778564,,,,,
y0 (fixed),16.7020320892334,,,,,
z0 (fixed),0.11563242971897125,,,,,
W0 (fixed),0.0,,,,,
