param,estimate,SE,MOE_95,CI_low,CI_high,p_value
p1,0.017119785770773888,0.0022170973857653944,0.004492266012839384,0.012627519757934504,0.02161205178361327,3.167075835850146e-09
p2,0.0852695032954216,0.09918950717106419,0.20097703184158205,-0.11570752854616045,0.28624653513700365,0.3955109869214203
p3,0.007597186602652073,0.004721959020563345,0.009567597778197764,-0.001970411175545691,0.017164784380849837,0.11613755997107679
p4,0.2176593840122223,0.09645505661983451,0.1954365087441547,0.0222228752680676,0.413095892756377,0.030029501008759358
p6,0.14851751923561096,0.0419918007724535,0.08508347023416521,0.06343404900144575,0.23360098946977617,0.0011098285357473959
p8,0.06929448992013931,0.020235339155589338,0.041000691683892934,0.02829379823624638,0.11029518160403225,0.0015210870453656973
p9,0.00303283310495317,0.005514667192307518,0.011173777101167393,-0.008140943996214223,0.014206610206120563,0.58565327289988
w0 (estimated),0.039169132709503174,,,,,
x0 (fixed),3.88151216506958,,,,,
y0 (fixed),24.68014144897461,,,,,
z0 (fixed),0.508366584777832,,,,,
W0 (fixed),0.0,,,,,
