param,estimate,SE,MOE_95,CI_low,CI_high,p_value
p1,0.018247384577989578,0.0021978240454188546,0.00445321451589183,0.013794170062097749,0.022700599093881408,5.639099031575277e-10
p2,0.09952293336391449,0.09556455303980271,0.19363217710199382,-0.09410924373807933,0.2931551104659083,0.3044375740297358
p3,0.007406499702483416,0.004655274213679314,0.009432481525090788,-0.0020259818226073725,0.016838981227574205,0.12012064535592308
p4,0.18597567081451416,0.08091387300148585,0.16394707963010516,0.022028591184409002,0.3499227504446193,0.02728634385902593
p6,0.14734941720962524,0.042226659671844156,0.08555933956598587,0.06179007764363938,0.23290875677561113,0.0012680013072319685
p8,0.0735996812582016,0.021838913792900663,0.04424984252791778,0.029349838730283816,0.11784952378611938,0.0017688028212965309
p9,0.0068160914815962315,0.006158216482680879,0.012477731822909628,-0.005661640341313397,0.01929382330450586,0.27551224106977595
w0 (estimated),0.028684740886092186,,,,,
x0 (fixed),3.6852974891662598,,,,,
y0 (fixed),23.26363182067871,,,,,
z0 (fixed),0.1326395869255066,,,,,
W0 (fixed),0.0,,,,,
